Symbol,EngName,ChtName,PrevClose,Exchange,Currency,LotSize
00077,AMS TRANSPORT,╢i┤╝д╜ж@ец│q,1.12,SEHK,HKD,2000
00078,REGAL INT'L,REGAL INT'L,4.05,SEHK,HKD,2000
00079,CENTURY LEGEND,е@мЎл╪╖~,0.74,SEHK,HKD,4000
00080,CNEWECON FUND,дд░ъ╖s╕g└┘зы╕ъ,0.26,SEHK,HKD,100000
00081,CH OVS G OCEANS,дд░ъо№е~з╗мv╢░╣╬,2.38,SEHK,HKD,1000
00082,V1 GROUP,▓─д@╡°└W,0.51,SEHK,HKD,2000
00083,SINO LAND,лHйM╕m╖~,10.76,SEHK,HKD,2000
00084,STELUX HOLDINGS,─_е·╣ъ╖~,0.87,SEHK,HKD,1000
00085,CHINA ELECTRON,дд░ъ╣qдl,2.24,SEHK,HKD,2000
00086,SUN HUNG KAI CO,╖s┬E░Єд╜еq,4.51,SEHK,HKD,1000
00087,SWIRE PACIFIC B,д╙еjк╤еўд╜еqгE,15.22,SEHK,HKD,2500
00088,TAI CHEUNG HOLD,TAI CHEUNG HOLD,6.4,SEHK,HKD,1000
00089,TAI SANG LAND,дjе═жa▓г,3.91,SEHK,HKD,1000
00090,AMBER ENERGY,╡[м─пр╖╜,1.07,SEHK,HKD,2000
00091,INT'L STD RES,╝╨╖╟╕ъ╖╜▒▒к╤,0.159,SEHK,HKD,50000
00092,CHAMPION TECH,CHAMPION TECH,0.127,SEHK,HKD,2000
00093,TERMBRAY IND,TERMBRAY IND,0.56,SEHK,HKD,2000
00094,GREENHEART GP,║ё┤╦╢░╣╬,0.93,SEHK,HKD,2000
00095,LVGEM CHINA,║ё┤║дд░ъжa▓г,2.28,SEHK,HKD,4000
00096,YUSEI,YUSEI,2.64,SEHK,HKD,2000
00097,HENDERSON INV,лэ░Є╡oоi,0.63,SEHK,HKD,1000
00098,XINGFA ALUM,┐│╡o╛T╖~,2.18,SEHK,HKD,1000
00099,WONG'S INT'L,д¤дє░ъ╗┌,2.47,SEHK,HKD,1000
00100,CLEAR MEDIA,е╒░идсе~┤C┼щ,7.81,SEHK,HKD,1000
00101,HANG LUNG PPT,лэ╢йжa▓г,17.52,SEHK,HKD,1000
00102,SUMMIT ASCENT,│═д╔▒▒к╤,3.2,SEHK,HKD,2000
00103,SHOUGANG CENT,н║к°─_и╬,0.275,SEHK,HKD,2000
00104,ASIA COMM HOLD,ASIA COMM HOLD,0.188,SEHK,HKD,5000
00105,ASSO INT HOTELS,│═┴p░ъ╗┌░sй▒,22.9,SEHK,HKD,2000
00106,LANDSEA PPT,о╘╕╓║ёжтжa▓г,0.64,SEHK,HKD,4000
00107,SICHUAN EXPRESS,е|дtжи┤№░к│tд╜╕Ї,2.4,SEHK,HKD,2000
00108,GR PROPERTIES,░ъ╛Uжa▓г,1.55,SEHK,HKD,2000
00109,GOODRESOURCES,д╤жи░ъ╗┌,1.9,SEHK,HKD,10000
00110,CHINA FORTUNE,дд░ък°╗╖,0.31,SEHK,HKD,2000
00111,CINDA INTL HLDG,лH╣F░ъ╗┌▒▒к╤,0.96,SEHK,HKD,2000
00112,LT COMM REALEST,░╟ої░╙╖~жa▓г,2.9,SEHK,HKD,2000
00113,DICKSON CONCEPT,н}е═│╨л╪,2.81,SEHK,HKD,500
00114,HERALD HOLD,HERALD HOLD,0.93,SEHK,HKD,5000
00115,GRAND FIELD GP,╢v└┌╢░╣╬,0.27,SEHK,HKD,10000
00116,CHOW SANG SANG,йPе═е═,14.02,SEHK,HKD,1000
00117,EYANG HOLDINGS,жt╢з▒▒к╤,1.27,SEHK,HKD,2000
00118,COSMOS MACH,дjжP╛ў▒ё,0.52,SEHK,HKD,2000
00119,POLY PROPERTY,лOзQ╕m╖~╢░╣╬,1.96,SEHK,HKD,1000
00120,COSMOPOL INT'L,COSMOPOL INT'L,0.19,SEHK,HKD,20000
00121,C.P. LOTUS,дR╕┴╜мкс,0.167,SEHK,HKD,10000
00122,CROCODILE,╞s│╜лЄ,0.86,SEHK,HKD,1000
00123,YUEXIU PROPERTY,╢Vиqжa▓г,1.17,SEHK,HKD,2000
00124,GD LAND,╕fо№╕mжa,1.61,SEHK,HKD,2000
00125,SUN HING VISION,╖s┐│е·╛╟,3.02,SEHK,HKD,2000
00126,CARRIANNA,и╬╣чоR,0.7,SEHK,HKD,2000
00127,CHINESE EST H,╡╪дH╕m╖~,19.7,SEHK,HKD,500
00128,ENM HOLDINGS,жw╣ч▒▒к╤,0.395,SEHK,HKD,4000
00129,ASIA STANDARD,кxо№╢░╣╬,1.45,SEHK,HKD,2000
00130,MOISELLE INT'L,╝}╕╓░ъ╗┌,1.24,SEHK,HKD,2000
00131,CHEUK NANG HOLD,иЇпрб]╢░╣╬б^,5.6,SEHK,HKD,1000
00132,CHINA INV HOLD,дд░ъ┐│╖~▒▒к╤,0.74,SEHK,HKD,1000
00133,CHINA MERCHANTS,й█░╙з╜дд░ъ░Єкў,11.22,SEHK,HKD,2000
00135,KUNLUN ENERGY,й°и┌пр╖╜,5.06,SEHK,HKD,2000
00136,MASCOTTE HOLD,░и┤╡╕п╢░╣╬,0.315,SEHK,HKD,4000
00137,JINHUI HOLDINGS,кў╜ў╢░╣╬,1.04,SEHK,HKD,1000
00138,CCT FORTIS,ддл╪┤I│q,0.8,SEHK,HKD,2000
00139,CHINA JINHAI,дд░ъкўо№░ъ╗┌,0.75,SEHK,HKD,14000
00141,GREAT CHINA,дjдд╡╪╢░╣╬,3.57,SEHK,HKD,2000
00142,FIRST PACIFIC,▓─д@д╙ен,5.02,SEHK,HKD,2000
00143,GLOBAL TECH,GLOBAL TECH,0.068,SEHK,HKD,2000
00144,CHINA MER HOLD,й█░╙з╜░ъ╗┌,23.85,SEHK,HKD,2000
00145,HK BLDG & LOAN,н╗┤фл╪л╬╢U┤┌,0.63,SEHK,HKD,8000
00146,TAI PING CARPET,TAI PING CARPET,2.04,SEHK,HKD,1000
00147,CHAOYUE GROUP,╢W╢V╢░╣╬,0.41,SEHK,HKD,5000
00148,KINGBOARD CHEM,л╪╖╩д╞дu,10.24,SEHK,HKD,500
00149,CH AGRI-PROD EX,дд░ъ╣A▓гл~ецйЎ,0.154,SEHK,HKD,5000
